,name,album,artist,release_date,duration,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
44,La kiffance,La kiffance,Naps,2021-02-26,179426,67,0.232,0.806,0.637,0.0,0.071,-6.515,0.0881,140.053,4
45,Soum-Soum,Soum-Soum,Marlone,2023-06-16,192773,39,0.146,0.839,0.694,0.000228,0.135,-5.993,0.0811,92.014,4
46,Le classico organisé,Le classico organisé,Le classico organisé,2021-11-05,378080,62,0.321,0.828,0.878,0.0,0.1,-5.241,0.269,142.886,4
47,Laboratoire,Carré,Werenoi,2023-03-10,162840,78,0.463,0.801,0.604,0.00378,0.111,-6.525,0.21,125.024,4
48,Ratures (Bonus Track),SONORA,4 Sang,2023-06-23,164559,27,0.483,0.767,0.702,2.64e-06,0.114,-9.228,0.0844,84.991,4
49,Pas là,ALPHA,Djadja & Dinaz,2023-03-03,147000,71,0.622,0.786,0.643,5.71e-05,0.135,-5.42,0.0316,125.045,4
50,Réseaux,Commando,Niska,2017-09-22,196453,0,0.168,0.795,0.667,0.0,0.126,-6.429,0.225,150.072,4
51,NO LÈCHE,"NO LÈCHE 🚫👅 (feat. Favé, Kerchak & Leto)",Gazo,2023-03-15,194201,74,0.0741,0.746,0.736,0.000483,0.124,-8.439,0.353,156.017,4
52,Maman ne le sait pas (feat. Niska),Destin,Ninho,2019-03-22,203301,70,0.399,0.755,0.875,0.0,0.115,-5.944,0.193,145.008,4
53,TDB,TDB,OBOY,2021-07-02,154280,64,0.0474,0.882,0.675,0.000598,0.124,-6.004,0.141,140.092,4
54,Petrouchka (feat. PLK),Avec le temps,Soso Maness,2021-06-04,189933,66,0.0597,0.624,0.802,0.0,0.252,-4.818,0.311,133.888,4
55,Afro Trap Pt. 7 (La puissance),Afro Trap Part. 7 (La puissance),MHD,2016-12-23,140077,0,0.0871,0.971,0.796,0.0,0.139,-5.731,0.306,120.039,4
56,Sans nuances,Mercure,WarEnd,2023-03-24,170078,68,0.0346,0.731,0.72,0.0,0.208,-6.497,0.405,127.007,4
57,Tchikita,Tchikita,Jul,2016-09-20,194490,62,0.727,0.955,0.654,3.19e-06,0.0887,-5.528,0.0809,110.943,4
58,Ciao,Carré,Werenoi,2023-03-10,216333,75,0.129,0.679,0.646,0.0,0.323,-6.606,0.202,147.969,4
59,Gasolina (feat. Rsko),Mélo,Tiakola,2022-05-27,183053,74,0.517,0.684,0.493,0.0,0.0672,-7.946,0.124,119.087,4
60,3 singes,Telegram,Werenoi,2022-10-28,182000,70,0.353,0.467,0.732,8.74e-05,0.095,-7.08,0.231,96.006,3
61,MD,MD,Niska,2019-12-27,210826,54,0.499,0.41,0.729,0.0,0.124,-5.253,0.4,75.301,4
62,Fetty Wap,Fetty Wap,Maes,2022-11-09,164334,68,0.282,0.919,0.621,0.0,0.0839,-4.9,0.274,130.12,4
63,Pas bête,L'Élu,Beendo Z,2022-06-17,143525,71,0.361,0.734,0.532,0.0,0.105,-9.038,0.102,138.043,4
64,Blanka,Deux frères,PNL,2019-04-05,254217,59,0.23,0.798,0.564,1.83e-05,0.183,-5.98,0.047,108.004,4
65,Θ. Macarena,Ipséité,Damso,2017-04-28,206840,0,0.213,0.777,0.549,1.73e-06,0.0494,-8.202,0.0614,129.908,4
66,Air Max,Air Max,Rim'K,2018-07-25,205554,62,0.35,0.83,0.604,0.0,0.098,-7.23,0.425,141.987,4
67,VVS,Jefe,Ninho,2021-12-03,187027,71,0.337,0.751,0.61,0.0,0.11,-8.368,0.485,167.983,4
68,Daddy chocolat,Cartel : volume 1,Koba LaD,2021-06-17,191984,69,0.0693,0.721,0.523,0.0,0.281,-8.399,0.147,141.034,4
69,Maybach,Maybach,Landy,2023-02-15,188573,66,0.518,0.51,0.467,0.0,0.0719,-7.03,0.256,189.017,3
70,Yakalelo,Yakalelo,SDM,2020-07-02,195520,58,0.443,0.916,0.531,2.76e-05,0.125,-5.936,0.16,126.965,4
71,Zipette,M.I.L.S 3,Ninho,2020-03-07,211262,52,0.371,0.743,0.757,0.0,0.0988,-6.889,0.272,192.018,3
72,Deux frères,Deux frères,PNL,2019-04-05,247459,73,0.143,0.794,0.659,0.00224,0.0944,-7.063,0.0498,112.019,4
73,Madame,La tête dans les nuages,Jul,2017-12-01,241213,69,0.23,0.646,0.799,0.0,0.0764,-5.786,0.304,104.412,4
74,Solitaire,Solitaire,Werenoi,2022-08-08,146440,62,0.244,0.765,0.744,0.000223,0.0966,-9.147,0.0644,117.989,4
75,Freestyle 5min #8,Freestyle 5min #8,Zkr,2020-06-26,365780,60,0.0506,0.689,0.87,1.31e-06,0.19,-6.68,0.296,99.903,4
76,Dalida,Dalida,Soolking,2018-09-12,224153,53,0.661,0.759,0.723,1.46e-05,0.104,-4.66,0.047,140.063,4
77,Goutte d'eau,Destin,Ninho,2019-03-22,157184,70,0.647,0.683,0.693,0.0,0.121,-6.441,0.127,137.826,4
78,Cœur blanc,Cœur blanc,Jul,2022-12-09,176333,30,0.00973,0.882,0.716,0.000127,0.0772,-7.061,0.0748,135.999,4
79,Vamos,La TN (Team Naps),Naps,2022-06-17,241160,68,0.203,0.814,0.817,0.0,0.152,-5.456,0.206,139.955,4
80,All eyes on me,All eyes on me,Werenoi,2022-12-01,173142,69,0.23,0.591,0.76,0.0,0.134,-5.19,0.0578,139.97,4
81,Scarface,Scarface,Werenoi,2021-08-18,146973,72,0.372,0.886,0.827,1.12e-06,0.0779,-7.619,0.134,105.036,4
